1.71667e+12, 0.059, 0.01, 0.033, 0.157, 0.06
1.71667e+12, 0.038, 0.004, 0.015, 0.081, 0.062
1.71667e+12, 0.03, 0.005, 0.023, 0.093, 0.066
0.176, 0.018, 0.004, 0.012, 0.043, 0.156
0.142, 0.021, 0.005, 0.01, 0.05, 0.033
0.166, 0.023, 0.003, 0.004, 0.033, 0.025
0.137, 0.014, 0.004, 0.004, 0.032, 0.026
0.173, 0.028, 0.003, 0.008, 0.042, 0.029
0.17, 0.024, 0.004, 0.01, 0.038, 0.028
0.216, 0.035, 0.003, 0.007, 0.037, 0.027
0.186, 0.008, 0.023, 0.006, 0.036, 0.027
0.135, 0.005, 0.017, 0.01, 0.072, 0.078
0.189, 0.014, 0.027, 0.026, 0.05, 0.034
0.228, 0.017, 0.035, 0.019, 0.06, 0.038
0.161, 0.009, 0.025, 0.007, 0.044, 0.028
0.168, 0.01, 0.022, 0.004, 0.038, 0.03
0.145, 0.009, 0.02, 0.006, 0.042, 0.028
0.188, 0.011, 0.02, 0.005, 0.044, 0.035
0.153, 0.011, 0.018, 0.004, 0.039, 0.027
0.167, 0.008, 0.023, 0.005, 0.04, 0.029
0.177, 0.009, 0.021, 0.004, 0.045, 0.035
0.184, 0.009, 0.018, 0.006, 0.041, 0.029
0.205, 0.01, 0.018, 0.012, 0.046, 0.033
0.167, 0.016, 0.022, 0.012, 0.043, 0.027
0.159, 0.01, 0.022, 0.005, 0.039, 0.027
0.178, 0.015, 0.066, 0.042, 0.086, 0.026
0.135, 0.007, 0.027, 0.007, 0.049, 0.029
0.253, 0.008, 0.024, 0.01, 0.054, 0.032
0.185, 0.012, 0.051, 0.032, 0.052, 0.028
0.17, 0.011, 0.02, 0.005, 0.053, 0.062
0.143, 0.007, 0.018, 0.004, 0.033, 0.029
0.153, 0.009, 0.019, 0.006, 0.035, 0.028
0.152, 0.007, 0.016, 0.004, 0.036, 0.026
0.154, 0.008, 0.016, 0.004, 0.035, 0.03
0.161, 0.009, 0.023, 0.007, 0.037, 0.028
0.162, 0.008, 0.021, 0.007, 0.037, 0.029
0.174, 0.014, 0.034, 0.007, 0.043, 0.031
0.151, 0.009, 0.028, 0.008, 0.042, 0.03
0.158, 0.006, 0.021, 0.009, 0.043, 0.035
0.217, 0.01, 0.027, 0.011, 0.048, 0.042
0.222, 0.022, 0.032, 0.012, 0.044, 0.037
0.193, 0.014, 0.022, 0.005, 0.038, 0.03
0.149, 0.008, 0.018, 0.006, 0.042, 0.047
0.169, 0.008, 0.02, 0.003, 0.038, 0.033
0.155, 0.008, 0.017, 0.004, 0.035, 0.029
0.168, 0.009, 0.016, 0.012, 0.035, 0.03
0.183, 0.009, 0.016, 0.004, 0.039, 0.032
0.152, 0.007, 0.017, 0.004, 0.034, 0.026
0.141, 0.007, 0.017, 0.004, 0.034, 0.028
0.272, 0.009, 0.017, 0.004, 0.049, 0.035
0.152, 0.01, 0.019, 0.017, 0.037, 0.027
0.152, 0.009, 0.016, 0.004, 0.041, 0.024
0.161, 0.01, 0.024, 0.009, 0.051, 0.032
0.154, 0.008, 0.019, 0.005, 0.038, 0.03
0.135, 0.007, 0.015, 0.004, 0.036, 0.026
0.317, 0.03, 0.022, 0.006, 0.04, 0.03
0.184, 0.009, 0.019, 0.005, 0.042, 0.035
0.148, 0.007, 0.016, 0.004, 0.038, 0.027
0.158, 0.006, 0.016, 0.003, 0.038, 0.026
0.171, 0.007, 0.029, 0.004, 0.043, 0.036
0.231, 0.014, 0.034, 0.008, 0.067, 0.03
0.16, 0.007, 0.022, 0.007, 0.043, 0.03
0.157, 0.008, 0.021, 0.007, 0.041, 0.029
0.156, 0.005, 0.018, 0.007, 0.042, 0.028
0.158, 0.009, 0.023, 0.008, 0.039, 0.028
0.199, 0.04, 0.039, 0.016, 0.065, 0.044
0.209, 0.011, 0.05, 0.033, 0.061, 0.032
0.174, 0.011, 0.029, 0.009, 0.047, 0.027
0.149, 0.029, 0.03, 0.008, 0.044, 0.027
0.163, 0.01, 0.035, 0.007, 0.052, 0.027
0.327, 0.014, 0.029, 0.014, 0.05, 0.029
0.151, 0.009, 0.021, 0.02, 0.06, 0.03
0.152, 0.011, 0.028, 0.021, 0.07, 0.033
0.17, 0.014, 0.026, 0.011, 0.069, 0.036
0.129, 0.007, 0.02, 0.011, 0.048, 0.03
0.193, 0.007, 0.021, 0.012, 0.061, 0.034
0.227, 0.005, 0.016, 0.004, 0.044, 0.032
0.236, 0.006, 0.021, 0.007, 0.05, 0.032
0.365, 0.008, 0.023, 0.01, 0.046, 0.03
0.204, 0.006, 0.015, 0.004, 0.05, 0.035
0.239, 0.011, 0.023, 0.012, 0.056, 0.051
0.25, 0.022, 0.077, 0.036, 0.096, 0.042
0.171, 0.013, 0.021, 0.006, 0.065, 0.062
0.155, 0.008, 0.018, 0.005, 0.05, 0.037
0.166, 0.008, 0.018, 0.005, 0.046, 0.031
0.154, 0.007, 0.018, 0.004, 0.047, 0.031
0.137, 0.006, 0.019, 0.005, 0.047, 0.033
0.158, 0.007, 0.018, 0.004, 0.042, 0.032
0.165, 0.01, 0.032, 0.032, 0.051, 0.03
0.163, 0.008, 0.023, 0.008, 0.044, 0.029
0.168, 0.015, 0.037, 0.042, 0.099, 0.03
0.166, 0.009, 0.023, 0.006, 0.047, 0.037
0.152, 0.011, 0.026, 0.006, 0.058, 0.058
0.168, 0.02, 0.022, 0.005, 0.056, 0.029
0.14, 0.011, 0.022, 0.007, 0.049, 0.028
0.148, 0.011, 0.022, 0.005, 0.046, 0.028
0.151, 0.01, 0.022, 0.006, 0.044, 0.029
0.17, 0.011, 0.02, 0.005, 0.048, 0.027
0.187, 0.011, 0.02, 0.005, 0.05, 0.029
0.173, 0.019, 0.02, 0.004, 0.047, 0.03
0.17, 0.01, 0.019, 0.005, 0.047, 0.026
0.18, 0.01, 0.021, 0.004, 0.046, 0.028
0.158, 0.01, 0.022, 0.007, 0.049, 0.029
0.162, 0.011, 0.022, 0.005, 0.046, 0.027
0.207, 0.015, 0.021, 0.004, 0.047, 0.029
0.168, 0.01, 0.019, 0.004, 0.047, 0.027
0.172, 0.022, 0.104, 0.043, 0.11, 0.029
0.154, 0.013, 0.044, 0.022, 0.072, 0.029
0.171, 0.01, 0.028, 0.013, 0.061, 0.029
0.223, 0.01, 0.024, 0.009, 0.054, 0.032
0.224, 0.008, 0.021, 0.008, 0.044, 0.026
0.152, 0.006, 0.021, 0.006, 0.05, 0.025
0.223, 0.009, 0.023, 0.008, 0.053, 0.032
0.176, 0.013, 0.028, 0.017, 0.057, 0.028
0.173, 6.692, 0.047, 0.056, 0.134, 0.078
0.153, 0.017, 0.03, 0.009, 0.06, 0.046
0.172, 0.01, 0.024, 0.008, 0.07, 0.037
0.148, 0.011, 0.041, 0.02, 0.065, 0.03
0.162, 0.009, 0.022, 0.006, 0.05, 0.027
0.152, 0.009, 0.029, 0.008, 0.051, 0.029
0.184, 0.01, 0.03, 0.01, 0.052, 0.031
0.164, 0.009, 0.023, 0.006, 0.043, 0.027
0.165, 0.013, 0.026, 0.007, 0.052, 0.035
0.152, 0.011, 0.033, 0.011, 0.057, 0.027
0.178, 0.01, 0.027, 0.007, 0.051, 0.03
0.147, 0.009, 0.036, 0.013, 0.06, 0.03
0.18, 0.012, 0.038, 0.015, 0.059, 0.032
0.17, 0.011, 0.033, 0.011, 0.056, 0.029
0.143, 0.01, 0.028, 0.008, 0.05, 0.029
0.157, 0.01, 0.03, 0.011, 0.06, 0.034
0.152, 0.009, 0.03, 0.009, 0.05, 0.027
0.16, 0.01, 0.028, 0.006, 0.054, 0.032
0.194, 0.025, 0.025, 0.006, 0.059, 0.027
0.149, 0.009, 0.024, 0.005, 0.051, 0.037
0.133, 0.008, 0.024, 0.005, 0.044, 0.029
0.186, 0.012, 0.028, 0.007, 0.066, 0.042
0.143, 0.009, 0.029, 0.009, 0.061, 0.031
0.17, 0.01, 0.026, 0.007, 0.064, 0.034
0.208, 0.011, 0.033, 0.009, 0.051, 0.026
0.177, 0.008, 0.03, 0.007, 0.069, 0.03
0.173, 0.008, 0.029, 0.007, 0.05, 0.028
0.186, 0.008, 0.025, 0.006, 0.047, 0.028
0.191, 0.009, 0.022, 0.006, 0.052, 0.032
0.16, 0.009, 0.024, 0.006, 0.05, 0.03
0.148, 0.009, 0.022, 0.007, 0.048, 0.028
0.15, 0.009, 0.025, 0.007, 0.048, 0.032
0.18, 0.009, 0.028, 0.007, 0.054, 0.032
0.166, 0.009, 0.027, 0.007, 0.05, 0.027
0.233, 0.006, 0.024, 0.006, 0.048, 0.028
0.33, 0.01, 0.028, 0.009, 0.06, 0.029
0.274, 0.011, 0.026, 0.007, 0.06, 0.029
0.214, 0.011, 0.022, 0.007, 0.054, 0.031
0.259, 0.009, 0.036, 0.007, 0.052, 0.031
0.199, 0.009, 0.026, 0.009, 0.05, 0.027
0.209, 0.011, 0.038, 0.008, 0.051, 0.024
0.156, 0.01, 0.023, 0.007, 0.048, 0.024
0.308, 0.009, 0.023, 0.005, 0.048, 0.028
0.25, 0.01, 0.024, 0.007, 0.049, 0.028
0.197, 0.009, 0.023, 0.006, 0.05, 0.027
