0.142, 0.063, 0.01, 0.033, 0.132
0.115, 0.058, 0.01, 0.027, 0.034
0.16, 0.06, 0.009, 0.034, 0.035
0.15, 0.057, 0.01, 0.035, 0.035
0.137, 0.057, 0.013, 0.036, 0.043
0.154, 0.064, 0.014, 0.037, 0.044
0.143, 0.041, 0.014, 0.035, 0.041
0.145, 0.064, 0.013, 0.036, 0.041
0.138, 0.057, 0.009, 0.035, 0.033
0.181, 0.076, 0.01, 0.034, 0.034
0.114, 0.075, 0.01, 0.034, 0.035
0.123, 0.07, 0.011, 0.031, 0.032
0.109, 0.067, 0.01, 0.034, 0.034
0.107, 0.07, 0.013, 0.035, 0.042
0.107, 0.073, 0.012, 0.032, 0.039
0.121, 0.074, 0.013, 0.031, 0.036
0.13, 0.084, 0.013, 0.041, 0.038
0.116, 0.068, 0.012, 0.033, 0.033
0.261, 0.07, 0.012, 0.031, 0.036
0.126, 0.063, 0.01, 0.029, 0.031
0.132, 0.07, 0.011, 0.031, 0.036
0.144, 0.063, 0.009, 0.034, 0.033
0.136, 0.074, 0.015, 0.035, 0.04
0.135, 0.068, 0.009, 0.032, 0.032
0.107, 0.071, 0.013, 0.035, 0.041
0.153, 0.077, 0.016, 0.034, 0.042
0.158, 0.081, 0.013, 0.035, 0.037
0.152, 0.078, 0.013, 0.029, 0.035
0.133, 0.072, 0.01, 0.034, 0.034
0.167, 0.069, 0.013, 0.032, 0.039
0.096, 0.068, 0.011, 0.03, 0.034
0.094, 0.074, 0.01, 0.03, 0.034
0.111, 0.075, 0.009, 0.034, 0.046
0.096, 0.072, 0.014, 0.031, 0.039
0.262, 0.174, 0.039, 0.073, 0.074
0.206, 0.073, 0.014, 0.039, 0.042
0.248, 0.075, 0.016, 0.046, 0.045
0.093, 0.074, 0.02, 0.042, 0.049
0.288, 0.113, 0.017, 0.044, 0.045
0.08, 0.071, 0.011, 0.036, 0.039
0.078, 0.06, 0.021, 0.036, 0.039
0.074, 0.062, 0.011, 0.049, 0.037
0.082, 0.052, 0.021, 0.056, 0.049
0.114, 0.072, 0.03, 0.061, 0.058
0.086, 0.055, 0.017, 0.038, 0.059
0.081, 0.06, 0.015, 0.036, 0.054
0.073, 0.054, 0.009, 0.041, 0.049
0.079, 0.049, 0.01, 0.034, 0.035
0.085, 0.06, 0.025, 0.042, 0.065
0.07, 0.053, 0.017, 0.036, 0.042
0.082, 0.057, 0.017, 0.038, 0.055
0.086, 0.057, 0.012, 0.035, 0.039
0.08, 0.072, 0.025, 0.045, 0.062
0.083, 0.066, 0.018, 0.04, 0.044
0.105, 0.056, 0.012, 0.038, 0.035
0.08, 0.057, 0.017, 0.037, 0.046
0.111, 0.05, 0.015, 0.034, 0.038
0.1, 0.058, 0.013, 0.054, 0.051
0.082, 0.046, 0.01, 0.03, 0.033
0.084, 0.05, 0.014, 0.032, 0.055
0.092, 0.051, 0.019, 0.044, 0.061
0.09, 0.058, 0.015, 0.039, 0.054
0.113, 0.048, 0.013, 0.048, 0.055
0.095, 0.047, 0.013, 0.031, 0.047
0.076, 0.045, 0.013, 0.031, 0.038
0.104, 0.05, 0.013, 0.03, 0.055
0.105, 0.061, 0.038, 0.056, 0.048
0.09, 0.054, 0.014, 0.032, 0.05
0.124, 0.053, 0.013, 0.039, 0.043
0.084, 0.061, 0.014, 0.035, 0.038
0.166, 0.097, 0.015, 0.045, 0.043
0.105, 0.079, 0.037, 0.041, 0.048
0.101, 0.094, 0.031, 0.049, 0.055
0.116, 0.115, 0.028, 0.045, 0.06
0.147, 0.155, 0.035, 0.05, 0.058
0.119, 0.062, 0.046, 0.049, 0.063
0.187, 0.105, 0.039, 0.048, 0.058
0.158, 0.078, 0.032, 0.039, 0.056
0.155, 0.063, 0.021, 0.036, 0.043
0.08, 0.059, 0.012, 0.037, 0.037
0.087, 0.062, 0.013, 0.034, 0.038
0.085, 0.068, 0.019, 0.039, 0.048
0.085, 0.083, 0.023, 0.041, 0.049
0.101, 0.166, 0.016, 0.044, 0.047
0.086, 0.072, 0.016, 0.06, 0.042
0.277, 0.051, 0.019, 0.048, 0.048
0.096, 0.071, 0.015, 0.08, 0.045
0.089, 0.053, 0.021, 0.048, 0.064
0.175, 0.075, 0.022, 0.05, 0.053
0.131, 0.06, 0.018, 0.057, 0.049
0.101, 0.058, 0.013, 0.033, 0.036
0.091, 0.066, 0.012, 0.038, 0.036
0.113, 0.057, 0.059, 0.05, 0.049
0.081, 0.056, 0.017, 0.04, 0.04
0.109, 0.062, 0.034, 0.054, 0.065
0.201, 0.157, 0.018, 0.041, 0.043
0.144, 0.086, 0.019, 0.036, 0.045
0.138, 0.107, 0.026, 0.045, 0.053
0.107, 0.089, 0.022, 0.041, 0.049
0.12, 0.078, 0.012, 0.032, 0.037
0.113, 0.077, 0.02, 0.032, 0.033
0.159, 0.108, 0.025, 0.051, 0.053
0.125, 0.078, 0.031, 0.057, 0.066
0.399, 0.194, 0.029, 0.049, 0.057
0.149, 0.086, 0.024, 0.044, 0.048
0.111, 0.065, 0.023, 0.036, 0.048
0.101, 0.082, 0.018, 0.043, 0.045
0.105, 0.069, 0.028, 0.044, 0.057
0.142, 0.094, 0.025, 0.043, 0.053
0.114, 0.066, 0.015, 0.04, 0.04
0.105, 0.061, 0.015, 0.036, 0.041
0.067, 0.054, 0.011, 0.032, 0.034
0.09, 0.059, 0.014, 0.037, 0.042
0.116, 0.274, 0.028, 0.057, 0.059
0.132, 0.06, 0.017, 0.037, 0.045
0.116, 0.071, 0.018, 0.043, 0.043
0.306, 0.064, 0.017, 0.034, 0.04
0.094, 0.086, 0.023, 0.047, 0.049
0.099, 0.211, 0.028, 0.046, 0.053
0.091, 0.057, 0.013, 0.03, 0.044
0.1, 0.063, 0.012, 0.032, 0.037
0.1, 0.062, 0.02, 0.033, 0.044
0.106, 0.07, 0.028, 0.039, 0.093
0.132, 0.068, 0.029, 0.035, 0.066
0.095, 0.059, 0.025, 0.047, 0.058
0.111, 0.07, 0.021, 0.042, 0.047
0.127, 0.07, 0.017, 0.041, 0.049
0.117, 0.082, 0.018, 0.038, 0.039
0.087, 0.054, 0.011, 0.03, 0.033
0.082, 0.065, 0.021, 0.045, 0.053
0.117, 0.067, 0.024, 0.047, 0.055
0.108, 0.06, 0.022, 0.032, 0.045
0.087, 0.058, 0.011, 0.029, 0.033
0.094, 0.071, 0.019, 0.046, 0.047
0.091, 0.062, 0.024, 0.039, 0.052
0.112, 0.076, 0.019, 0.039, 0.045
0.134, 0.066, 0.013, 0.032, 0.038
0.097, 0.064, 0.01, 0.036, 0.038
0.116, 0.065, 0.012, 0.035, 0.04
0.125, 0.062, 0.013, 0.03, 0.036
0.125, 0.061, 0.015, 0.031, 0.041
0.108, 0.056, 0.013, 0.03, 0.035
0.111, 0.061, 0.01, 0.036, 0.032
0.117, 0.063, 0.013, 0.044, 0.045
0.118, 0.06, 0.013, 0.037, 0.037
0.124, 0.054, 0.011, 0.03, 0.036
0.109, 0.083, 0.01, 0.042, 0.031
0.095, 0.066, 0.016, 0.037, 0.042
0.098, 0.055, 0.022, 0.037, 0.037
0.164, 0.061, 0.016, 0.038, 0.039
0.097, 0.06, 0.009, 0.036, 0.031
0.107, 0.056, 0.009, 0.035, 0.039
0.088, 0.056, 0.01, 0.036, 0.034
0.099, 0.06, 0.009, 0.035, 0.035
0.183, 0.369, 0.022, 0.048, 0.048
0.223, 0.07, 0.027, 0.033, 0.043
0.11, 0.067, 0.019, 0.037, 0.043
0.144, 0.067, 0.009, 0.03, 0.033
0.086, 0.069, 0.01, 0.032, 0.032
0.094, 0.062, 0.036, 0.043, 0.072
0.08, 0.047, 0.013, 0.032, 0.035
0.088, 0.047, 0.01, 0.032, 0.03
0.079, 0.046, 0.01, 0.034, 0.031
0.319, 0.066, 0.017, 0.041, 0.043
0.077, 0.043, 0.009, 0.029, 0.031
0.071, 0.043, 0.008, 0.029, 0.031
0.074, 0.044, 0.008, 0.029, 0.03
0.223, 0.05, 0.011, 0.036, 0.036
0.127, 0.052, 0.025, 0.037, 0.048
0.172, 0.054, 0.011, 0.032, 0.032
0.139, 0.05, 0.01, 0.03, 0.031
0.13, 0.054, 0.009, 0.031, 0.031
0.17, 0.069, 0.01, 0.035, 0.031
0.159, 0.047, 0.008, 0.03, 0.031
0.172, 0.051, 0.009, 0.031, 0.03
0.158, 0.045, 0.007, 0.029, 0.03
0.073, 0.052, 0.008, 0.031, 0.03
0.078, 0.05, 0.009, 0.031, 0.031
0.088, 0.049, 0.008, 0.029, 0.031
0.098, 0.063, 0.009, 0.03, 0.032
0.075, 0.049, 0.009, 0.034, 0.031
0.117, 0.074, 0.018, 0.036, 0.056
0.099, 0.064, 0.016, 0.041, 0.04
0.555, 0.168, 0.054, 0.052, 0.193
0.079, 0.056, 0.011, 0.031, 0.042
0.073, 0.056, 0.01, 0.031, 0.033
0.099, 0.05, 0.008, 0.031, 0.03
0.075, 0.044, 0.009, 0.031, 0.03
0.1, 0.06, 0.013, 0.041, 0.043
0.099, 0.045, 0.009, 0.031, 0.031
0.095, 0.046, 0.009, 0.03, 0.031
0.066, 0.043, 0.007, 0.032, 0.029
0.11, 0.066, 0.009, 0.031, 0.032
