1.71664e+12, 0.059, 0.083, 0.022, 0.067, 0.053
1.71664e+12, 0.055, 0.033, 0.014, 0.056, 0.046
1.71664e+12, 0.05, 0.022, 0.018, 0.057, 0.058
0.121, 0.038, 0.013, 0.01, 0.017, 0.124
0.175, 0.075, 0.018, 0.032, 0.025, 0.069
0.163, 0.067, 0.014, 0.033, 0.025, 0.058
0.124, 0.052, 0.037, 0.011, 0.02, 0.053
0.142, 0.055, 0.037, 0.013, 0.019, 0.039
0.17, 0.072, 0.032, 0.015, 0.022, 0.043
0.121, 0.047, 0.019, 0.011, 0.021, 0.044
0.156, 0.14, 0.025, 0.022, 0.022, 0.046
0.154, 0.09, 0.029, 0.013, 0.018, 0.038
0.116, 0.045, 0.034, 0.011, 0.021, 0.034
0.143, 0.066, 0.102, 0.019, 0.022, 0.045
0.168, 0.092, 0.022, 0.014, 0.022, 0.045
0.139, 0.052, 0.019, 0.012, 0.021, 0.036
0.194, 0.207, 0.028, 0.027, 0.037, 0.072
0.117, 1.422, 0.038, 0.026, 0.025, 0.06
0.141, 2.496, 0.017, 0.01, 0.02, 0.034
0.129, 0.044, 0.018, 0.016, 0.019, 0.04
0.152, 0.061, 0.043, 0.026, 0.022, 0.056
0.11, 0.051, 0.019, 0.011, 0.017, 0.058
0.138, 0.05, 0.028, 0.03, 0.019, 0.044
0.21, 0.052, 0.027, 0.015, 0.021, 0.053
0.111, 0.041, 0.017, 0.011, 0.017, 0.034
0.141, 0.055, 0.028, 0.015, 0.021, 0.044
0.147, 0.062, 0.019, 0.028, 0.023, 0.055
0.107, 0.047, 0.037, 0.011, 0.02, 0.036
0.124, 0.063, 0.019, 0.015, 0.019, 0.043
0.159, 0.048, 0.027, 0.013, 0.02, 0.06
0.109, 0.02, 0.04, 0.01, 0.017, 0.03
0.167, 0.053, 0.029, 0.012, 0.021, 0.039
0.17, 0.054, 0.027, 0.016, 0.02, 0.047
0.105, 0.039, 0.041, 0.011, 0.022, 0.038
0.124, 0.034, 0.039, 0.011, 0.018, 0.036
0.165, 0.052, 0.049, 0.034, 0.03, 0.073
0.115, 0.089, 0.03, 0.01, 0.017, 0.042
0.168, 0.038, 0.035, 0.013, 0.018, 0.036
0.15, 0.034, 0.042, 0.013, 0.02, 0.041
0.109, 0.087, 0.047, 0.012, 0.021, 0.038
0.196, 0.044, 0.05, 0.02, 0.022, 0.05
0.142, 0.034, 0.041, 0.013, 0.018, 0.041
0.154, 0.046, 0.104, 0.009, 0.017, 0.03
0.144, 0.034, 0.041, 0.012, 0.017, 0.036
0.181, 0.038, 0.044, 0.018, 0.021, 0.048
0.137, 0.116, 0.04, 0.01, 0.016, 0.032
0.143, 0.037, 0.043, 0.014, 0.02, 0.047
0.178, 0.04, 0.043, 0.019, 0.022, 0.048
0.119, 0.035, 0.038, 0.009, 0.017, 0.03
0.167, 0.033, 0.042, 0.011, 0.018, 0.033
0.165, 0.031, 0.038, 0.014, 0.022, 0.043
0.13, 0.035, 0.039, 0.008, 0.017, 0.029
0.168, 0.034, 0.038, 0.009, 0.019, 0.032
0.172, 0.033, 0.042, 0.015, 0.018, 0.036
0.157, 0.021, 0.031, 0.008, 0.016, 0.029
0.155, 0.04, 0.044, 0.009, 0.017, 0.032
0.17, 0.032, 0.043, 0.011, 0.017, 0.032
0.097, 0.04, 0.031, 0.009, 0.016, 0.029
0.159, 0.087, 0.046, 0.012, 0.02, 0.04
0.155, 0.038, 0.04, 0.016, 0.018, 0.038
0.108, 0.024, 0.033, 0.008, 0.016, 0.028
0.195, 0.035, 0.044, 0.008, 0.016, 0.03
0.143, 0.038, 0.045, 0.01, 0.017, 0.031
0.099, 0.032, 0.033, 0.008, 0.016, 0.027
0.134, 0.041, 0.045, 0.009, 0.019, 0.033
0.132, 0.018, 0.048, 0.01, 0.018, 0.04
0.103, 0.031, 0.039, 0.007, 0.016, 0.027
0.138, 0.043, 0.044, 0.008, 0.017, 0.032
0.14, 0.041, 0.049, 0.011, 0.022, 0.037
0.131, 0.017, 0.032, 0.008, 0.017, 0.029
0.167, 0.044, 0.047, 0.027, 0.026, 0.053
0.13, 0.047, 0.042, 0.033, 0.027, 0.063
0.11, 0.133, 0.321, 0.011, 0.017, 0.032
0.148, 0.042, 0.043, 0.02, 0.025, 0.052
0.114, 0.038, 0.031, 0.032, 0.023, 0.059
0.148, 0.031, 0.028, 0.01, 0.017, 0.053
0.109, 0.03, 0.036, 0.02, 0.021, 0.051
0.117, 0.044, 0.043, 0.037, 0.025, 0.069
0.129, 0.026, 0.05, 0.031, 0.017, 0.034
0.113, 4.932, 0.046, 0.039, 0.035, 0.083
0.117, 0.049, 0.05, 0.018, 0.026, 0.049
0.149, 0.133, 0.043, 0.011, 0.042, 0.04
0.131, 2.93, 1.605, 0.038, 0.031, 0.078
0.126, 0.654, 0.241, 0.017, 0.036, 0.073
0.146, 0.43, 0.044, 0.011, 0.02, 0.039
0.131, 2.687, 3.817, 0.039, 0.039, 0.081
0.106, 1.743, 2.222, 0.019, 0.03, 0.055
0.164, 4.799, 1.493, 0.014, 0.027, 0.043
