1.71664e+12, 0.049, 0.069, 0.011, 0.103, 0.059
1.71664e+12, 0.045, 0.036, 0.017, 0.094, 0.058
1.71664e+12, 0.054, 0.031, 0.012, 0.1, 0.055
0.163, 0.044, 0.03, 0.009, 0.051, 0.103
0.167, 0.043, 0.031, 0.01, 0.046, 0.037
0.187, 0.049, 0.035, 0.012, 0.05, 0.039
0.154, 0.043, 0.03, 0.013, 0.047, 0.039
0.179, 0.106, 0.036, 0.01, 0.058, 0.04
0.152, 0.04, 0.029, 0.01, 0.036, 0.036
0.202, 0.045, 0.03, 0.013, 0.038, 0.04
0.184, 0.026, 0.047, 0.01, 0.04, 0.038
0.265, 0.03, 0.05, 0.009, 0.037, 0.037
0.17, 0.027, 0.044, 0.012, 0.037, 0.038
0.189, 0.026, 0.048, 0.013, 0.04, 0.041
0.193, 0.015, 0.038, 0.009, 0.039, 0.034
0.182, 0.022, 0.047, 0.018, 0.038, 0.05
0.179, 0.023, 0.05, 0.013, 0.038, 0.051
0.276, 7.946, 0.054, 0.014, 0.104, 0.042
0.171, 0.033, 0.049, 0.009, 0.04, 0.057
0.187, 0.026, 0.044, 0.022, 0.036, 0.038
0.23, 0.056, 0.074, 0.019, 0.046, 0.044
0.175, 0.032, 0.078, 0.015, 0.041, 0.081
0.165, 0.035, 0.058, 0.02, 0.062, 0.045
0.177, 0.03, 0.053, 0.017, 0.034, 0.049
0.197, 0.031, 0.05, 0.02, 0.035, 0.05
0.294, 0.079, 0.11, 0.046, 0.064, 0.074
0.187, 0.05, 0.111, 0.032, 0.057, 0.055
0.215, 0.174, 0.077, 0.027, 0.054, 0.069
0.193, 0.039, 0.061, 0.05, 0.056, 0.059
0.194, 0.042, 0.074, 0.05, 0.055, 0.054
0.151, 0.04, 0.065, 0.027, 0.049, 0.079
0.166, 0.172, 0.071, 0.021, 0.051, 0.049
0.188, 0.068, 0.081, 0.057, 0.058, 0.072
0.144, 0.026, 0.08, 0.037, 0.063, 0.08
0.154, 0.049, 0.08, 0.053, 0.086, 0.056
0.192, 0.043, 0.073, 0.032, 0.076, 0.057
0.191, 0.052, 0.091, 0.067, 0.06, 0.061
0.192, 0.048, 0.073, 0.05, 0.044, 0.054
0.162, 0.039, 0.065, 0.016, 0.038, 0.062
0.22, 0.048, 0.086, 0.015, 0.047, 0.041
0.175, 0.032, 0.227, 0.031, 0.052, 0.061
0.208, 0.051, 0.099, 0.033, 0.047, 0.064
0.202, 0.041, 0.089, 0.025, 0.043, 0.051
0.174, 0.066, 0.069, 0.038, 0.056, 0.069
0.154, 0.036, 0.072, 0.019, 0.045, 0.04
0.157, 0.037, 0.064, 0.016, 0.05, 0.044
0.183, 0.039, 0.071, 0.043, 0.078, 0.066
0.186, 0.04, 0.069, 0.041, 0.046, 0.051
0.167, 0.037, 0.073, 0.042, 0.048, 0.051
0.148, 0.035, 0.063, 0.011, 0.057, 0.04
0.194, 0.032, 0.057, 0.009, 0.096, 0.037
0.166, 0.031, 0.154, 0.016, 0.045, 0.04
0.153, 0.041, 0.069, 0.034, 0.042, 0.043
0.195, 0.038, 0.081, 0.015, 0.048, 0.045
0.164, 0.028, 0.201, 0.014, 0.044, 0.038
0.176, 0.037, 0.066, 0.044, 0.055, 0.051
0.212, 0.044, 0.114, 0.021, 0.06, 0.058
0.161, 0.052, 0.087, 0.021, 0.045, 0.044
0.169, 0.056, 0.079, 0.127, 0.052, 0.051
0.183, 0.039, 0.077, 0.016, 0.039, 0.04
0.155, 0.029, 0.058, 0.012, 0.055, 0.033
0.166, 0.032, 0.061, 0.014, 0.045, 0.035
0.155, 0.059, 0.102, 0.054, 0.046, 0.064
0.166, 0.031, 0.057, 0.024, 0.05, 0.043
0.175, 0.056, 0.108, 0.038, 0.064, 0.077
0.174, 0.046, 0.087, 0.026, 0.052, 0.057
0.148, 0.046, 0.071, 0.021, 0.069, 0.051
0.181, 0.042, 0.072, 0.028, 0.042, 0.042
0.153, 0.039, 0.068, 0.015, 0.05, 0.042
0.164, 0.037, 0.068, 0.013, 0.055, 0.039
0.151, 0.048, 0.073, 0.033, 0.053, 0.047
0.206, 0.054, 0.074, 0.015, 0.132, 0.176
0.18, 0.062, 0.083, 0.044, 0.043, 0.041
0.17, 0.053, 0.091, 0.011, 0.041, 0.036
0.15, 0.059, 0.1, 0.016, 0.041, 0.042
0.164, 7.058, 0.963, 0.028, 0.053, 0.054
0.171, 5.467, 0.097, 0.022, 0.048, 0.053
0.156, 0.036, 0.087, 0.018, 0.046, 0.045
0.16, 0.028, 0.082, 0.013, 0.04, 0.04
0.186, 0.045, 0.068, 0.041, 0.043, 0.049
0.147, 0.05, 0.069, 0.03, 0.041, 0.046
