1.71657e+12, 0.106, 0.009, 0.098, 0.103
1.71657e+12, 0.044, 0.012, 0.075, 0.046
1.71657e+12, 0.055, 0.011, 0.11, 0.061
0.035, 0.048, 0.008, 0.03, 0.12
0.039, 0.042, 0.01, 0.039, 0.035
0.052, 0.058, 0.012, 0.048, 0.038
0.029, 0.049, 0.007, 0.031, 0.027
0.091, 0.057, 0.011, 0.037, 0.033
0.059, 0.051, 0.017, 0.039, 0.063
0.044, 0.057, 0.011, 0.033, 0.033
0.077, 0.044, 0.02, 0.035, 0.044
0.061, 0.055, 0.012, 0.028, 0.035
0.029, 0.046, 0.009, 0.027, 0.029
0.149, 0.068, 0.036, 0.041, 0.072
0.053, 0.052, 0.012, 0.035, 0.036
0.043, 0.048, 0.01, 0.031, 0.028
0.105, 0.055, 0.01, 0.035, 0.033
0.069, 0.065, 0.012, 0.034, 0.04
0.026, 0.043, 0.009, 0.027, 0.027
0.043, 0.052, 0.009, 0.046, 0.031
0.062, 0.067, 0.024, 0.046, 0.054
0.048, 0.075, 0.008, 0.032, 0.027
0.035, 0.052, 0.031, 0.061, 0.032
0.052, 0.056, 0.01, 0.034, 0.035
0.019, 0.039, 0.008, 0.028, 0.027
0.035, 0.052, 0.009, 0.037, 0.043
0.035, 0.053, 0.009, 0.033, 0.031
0.013, 0.038, 0.008, 0.029, 0.027
0.009, 0.054, 0.008, 0.032, 0.029
0.078, 0.056, 0.008, 0.036, 0.03
0.005, 0.048, 0.009, 0.03, 0.026
0.042, 0.047, 0.006, 0.032, 0.039
0.089, 0.051, 0.007, 0.03, 0.03
-0.012, 0.043, 0.008, 0.03, 0.027
0.038, 0.056, 0.009, 0.031, 0.068
0.039, 0.063, 0.008, 0.033, 0.034
0.024, 0.062, 0.007, 0.033, 0.027
0.016, 0.066, 0.023, 0.032, 0.032
0.044, 0.068, 0.008, 0.033, 0.034
0.023, 0.058, 0.007, 0.027, 0.026
0.021, 0.057, 0.007, 0.032, 0.045
0.019, 0.071, 0.009, 0.032, 0.03
0.005, 0.056, 0.007, 0.03, 0.025
0.035, 0.061, 0.008, 0.03, 0.058
0.04, 0.062, 0.008, 0.032, 0.031
0.005, 0.055, 0.007, 0.032, 0.027
0.044, 0.073, 0.01, 0.03, 0.059
0.027, 0.061, 0.008, 0.03, 0.033
0.023, 0.065, 0.009, 0.034, 0.032
0.019, 0.069, 0.014, 0.035, 0.046
0.043, 0.067, 0.011, 0.034, 0.042
0.014, 0.049, 0.009, 0.03, 0.029
0.121, 0.064, 0.01, 0.044, 0.036
0.016, 0.062, 0.008, 0.032, 0.029
0.005, 0.056, 0.008, 0.029, 0.027
0.036, 0.075, 0.009, 0.037, 0.037
0.015, 0.066, 0.008, 0.032, 0.029
0.006, 0.046, 0.009, 0.033, 0.035
0.041, 0.068, 0.008, 0.035, 0.031
-0.009, 0.058, 0.009, 0.032, 0.032
0.004, 0.046, 0.009, 0.03, 0.027
