0.261, 0.028, 0.007, 0.024, 0.023
0.307, 0.039, 0.034, 0.036, 0.048
0.232, 0.039, 0.01, 0.03, 0.028
0.235, 0.027, 0.009, 0.027, 0.025
0.296, 0.035, 0.009, 0.023, 0.027
0.219, 0.034, 0.007, 0.03, 0.024
0.277, 0.018, 0.007, 0.046, 0.037
0.352, 0.04, 0.041, 0.067, 0.08
0.231, 0.032, 0.01, 0.029, 0.031
0.281, 0.037, 0.009, 0.037, 0.039
0.343, 0.04, 0.011, 0.049, 0.054
0.321, 0.037, 0.022, 0.033, 0.032
0.306, 0.03, 0.009, 0.032, 0.038
0.319, 0.039, 0.022, 0.035, 0.044
0.225, 0.023, 0.011, 0.03, 0.027
0.307, 0.052, 0.01, 0.056, 0.04
0.278, 0.034, 0.012, 0.041, 0.035
0.315, 0.02, 0.011, 0.034, 0.028
0.297, 0.053, 0.011, 0.04, 0.04
0.244, 0.032, 0.013, 0.032, 0.032
0.216, 0.023, 0.01, 0.028, 0.029
0.303, 0.032, 9.191, 0.097, 0.101
0.335, 0.051, 0.015, 0.038, 0.04
0.241, 0.12, 0.013, 0.046, 0.06
0.39, 0.032, 0.012, 0.063, 0.081
0.3, 0.031, 0.01, 0.033, 0.038
0.215, 0.054, 0.008, 0.025, 0.023
0.395, 0.038, 0.008, 0.055, 0.068
0.286, 0.054, 0.013, 0.038, 0.045
0.217, 0.037, 0.008, 0.024, 0.022
0.221, 0.059, 0.01, 0.029, 0.027
0.278, 0.049, 0.009, 0.036, 0.039
0.218, 0.042, 0.008, 0.025, 0.047
0.217, 0.049, 0.008, 0.026, 0.043
0.366, 0.051, 0.009, 0.048, 0.058
0.207, 0.036, 0.008, 0.046, 0.029
0.285, 0.064, 0.007, 0.048, 0.047
0.323, 0.074, 0.02, 0.056, 0.062
0.372, 0.047, 0.011, 0.03, 0.031
0.225, 0.044, 0.01, 0.05, 0.029
0.408, 0.072, 0.011, 0.058, 0.064
0.244, 0.058, 0.009, 0.029, 0.028
0.342, 0.066, 0.009, 0.043, 0.049
0.278, 0.059, 0.008, 0.025, 0.027
0.242, 0.053, 0.007, 0.025, 0.022
0.294, 0.057, 0.007, 0.031, 0.035
0.262, 0.064, 0.021, 0.025, 0.024
0.306, 0.049, 0.007, 0.038, 0.044
0.23, 0.065, 0.007, 0.026, 0.025
0.276, 0.062, 0.013, 0.035, 0.04
0.322, 0.049, 0.009, 0.041, 0.049
0.266, 0.04, 0.008, 0.033, 0.038
0.238, 0.055, 0.008, 0.026, 0.026
0.223, 0.05, 0.007, 0.025, 0.025
0.299, 0.053, 0.007, 0.039, 0.047
0.293, 0.059, 0.022, 0.04, 0.052
0.227, 0.072, 0.012, 0.036, 0.034
0.223, 0.056, 0.01, 0.027, 0.027
0.285, 0.076, 0.023, 0.041, 0.063
0.225, 0.045, 0.011, 0.031, 0.032
0.34, 0.06, 0.011, 0.051, 0.07
0.293, 0.639, 0.034, 0.05, 0.074
0.684, 0.066, 0.012, 0.034, 0.034
0.35, 0.057, 0.011, 0.06, 0.072
0.288, 0.062, 0.009, 0.049, 0.042
0.225, 0.038, 0.009, 0.027, 0.028
0.287, 0.048, 0.007, 0.039, 0.038
0.236, 0.055, 0.009, 0.03, 0.029
0.225, 0.047, 0.009, 0.028, 0.029
0.365, 0.049, 0.007, 0.056, 0.059
0.278, 0.053, 0.008, 0.051, 0.04
0.251, 0.074, 0.013, 0.041, 0.034
0.339, 0.052, 0.011, 0.055, 0.073
0.645, 0.059, 0.012, 0.115, 0.135
0.754, 0.041, 0.01, 0.033, 0.033
0.239, 0.053, 0.01, 0.036, 0.033
0.321, 0.151, 0.013, 0.052, 0.06
0.21, 0.038, 0.029, 0.032, 0.029
0.36, 0.051, 0.011, 0.07, 0.063
0.731, 0.043, 0.028, 0.103, 0.139
0.586, 0.038, 0.009, 0.028, 0.03
0.434, 0.053, 0.008, 0.058, 0.077
0.43, 0.058, 0.022, 0.065, 0.103
0.319, 0.035, 0.011, 0.023, 0.03
0.445, 0.054, 0.009, 0.06, 0.081
0.463, 0.07, 0.017, 0.07, 0.092
0.33, 0.046, 0.021, 0.031, 0.028
0.522, 0.06, 0.009, 0.067, 0.083
0.402, 0.061, 0.013, 0.048, 0.066
0.222, 0.059, 0.011, 0.041, 0.029
0.227, 0.057, 0.011, 0.038, 0.038
0.24, 0.06, 0.022, 0.043, 0.042
0.242, 0.049, 0.011, 0.031, 0.029
0.259, 0.048, 0.008, 0.034, 0.037
0.378, 0.05, 0.01, 0.051, 0.063
0.195, 0.033, 0.009, 0.031, 0.029
0.228, 0.048, 0.007, 0.028, 0.025
0.376, 0.056, 0.01, 0.057, 0.07
0.213, 0.033, 0.009, 0.031, 0.029
0.202, 0.058, 0.008, 0.026, 0.024
0.428, 0.061, 0.013, 0.079, 0.132
0.405, 0.049, 0.01, 0.026, 0.038
0.217, 0.065, 0.01, 0.04, 0.035
0.263, 0.052, 0.013, 0.042, 0.043
0.272, 0.048, 0.007, 0.028, 0.025
0.251, 0.064, 0.007, 0.034, 0.037
0.323, 0.064, 0.019, 0.048, 0.05
0.217, 0.046, 0.013, 0.03, 0.033
0.229, 0.058, 0.01, 0.042, 0.029
0.228, 0.073, 0.011, 0.033, 0.033
0.222, 0.061, 0.01, 0.039, 0.036
0.262, 0.053, 0.009, 0.045, 0.04
0.229, 0.066, 0.012, 0.03, 0.032
0.236, 0.049, 0.008, 0.025, 0.026
0.215, 0.051, 0.008, 0.026, 0.025
0.339, 0.06, 0.01, 0.042, 0.05
0.221, 0.037, 0.01, 0.033, 0.028
0.207, 0.046, 0.007, 0.029, 0.029
0.321, 0.049, 0.013, 0.054, 0.058
0.212, 0.038, 0.009, 0.025, 0.025
0.399, 0.068, 0.009, 0.062, 0.078
0.232, 0.053, 0.011, 0.03, 0.027
0.201, 0.047, 0.008, 0.029, 0.024
0.29, 0.059, 0.008, 0.045, 0.047
0.226, 0.065, 0.009, 0.031, 0.027
0.209, 0.047, 0.008, 0.027, 0.023
0.431, 0.046, 0.009, 0.065, 0.08
0.287, 0.053, 0.01, 0.037, 0.039
0.224, 0.041, 0.007, 0.027, 0.024
0.206, 0.048, 0.007, 0.028, 0.024
0.266, 0.056, 0.009, 0.032, 0.027
0.207, 0.047, 0.008, 0.028, 0.023
0.21, 0.04, 0.008, 0.029, 0.024
0.287, 0.075, 0.012, 0.041, 0.041
0.224, 0.038, 0.007, 0.026, 0.025
0.224, 0.047, 0.007, 0.028, 0.024
0.319, 0.05, 0.009, 0.043, 0.047
0.216, 0.035, 0.007, 0.022, 0.023
0.216, 0.061, 0.009, 0.027, 0.026
0.238, 0.058, 0.016, 0.03, 0.034
0.216, 0.045, 0.009, 0.027, 0.025
0.216, 0.046, 0.007, 0.024, 0.037
0.318, 0.046, 0.008, 0.041, 0.049
0.201, 0.038, 0.007, 0.026, 0.022
0.28, 0.048, 0.007, 0.049, 0.044
0.295, 0.049, 0.008, 0.038, 0.045
0.207, 0.037, 0.007, 0.025, 0.023
0.292, 0.055, 0.007, 0.044, 0.046
0.242, 0.057, 0.017, 0.04, 0.036
0.208, 0.05, 0.011, 0.036, 0.032
0.246, 0.058, 0.011, 0.048, 0.051
0.354, 0.057, 0.014, 0.061, 0.065
0.228, 0.04, 0.01, 0.036, 0.034
0.264, 0.065, 0.011, 0.046, 0.052
0.235, 0.056, 0.013, 0.035, 0.035
0.214, 0.049, 0.01, 0.036, 0.032
0.217, 0.053, 0.011, 0.042, 0.033
0.236, 0.055, 0.012, 0.038, 0.035
0.231, 0.049, 0.026, 0.037, 0.032
0.215, 0.051, 0.01, 0.048, 0.035
0.475, 0.052, 0.012, 0.061, 0.072
0.219, 0.038, 0.01, 0.034, 0.033
0.263, 0.046, 0.011, 0.059, 0.05
0.238, 0.05, 0.012, 0.038, 0.034
0.21, 0.046, 0.01, 0.038, 0.031
0.256, 0.044, 0.011, 0.06, 0.052
0.458, 0.08, 0.022, 0.074, 0.099
0.249, 0.036, 0.009, 0.028, 0.027
0.233, 0.044, 0.007, 0.029, 0.022
0.356, 0.051, 0.012, 0.045, 0.052
0.305, 0.045, 0.007, 0.029, 0.023
0.232, 0.044, 0.008, 0.028, 0.024
0.295, 0.057, 0.012, 0.033, 0.029
0.219, 0.047, 0.007, 0.028, 0.024
0.392, 0.062, 0.012, 0.074, 0.103
0.335, 0.052, 0.011, 0.045, 0.052
0.206, 0.036, 0.007, 0.021, 0.022
0.341, 0.042, 0.007, 0.041, 0.045
0.325, 0.053, 0.012, 0.042, 0.051
0.215, 0.037, 0.008, 0.026, 0.024
0.409, 0.041, 0.007, 0.056, 0.069
